Var1,V
Uqcrc1,4
Add3,1
Syt1,1
Epb4.1l1,1
Dock9,1
Asph,4
Cacna2d1,1
Sirpa,1
Stx1b,7
Car4,5
Epb4.1,5
M6pr,4
Ndufv1,4
Ndufv2,4
Etfb,5
Dlat,4
Atp5d,4
Cox5a,4
Ndufb9,4
Cox6b1,4
Sfxn3,4
COX2,4
Mtx2,4
Tacc1,4
Cox6a1,4
Ndufa13,4
Ppa2,4
Ndufa8,4
Ptges2,4
Slc1a2,4
Slc25a12,4
Tpp1,3
Napb,7
Cnp,1
Srgap3,1
Mog,1
Plp1,3
Lsamp,4
Gpm6a,1
Lancl1,4
Rab30,8
Ntm,4
Negr1,4
Slc6a1,7
Mpp1,5
Llgl1,3
Palm,1
Cdh13,4
Diras2,4
F8a,8
Cryl1,3
Syt12,3
Aplp1,5
Ddi2,6
Rab9,4
Ktn1,2
Banf1,4
Acsl1,5
Cox4i1,4
Pgrmc1,4
Cyb5,5
Cisd1,4
Fis1,4
Bcap29,4
Vamp1,7
Cyb5r3,5
Ephx1,4
Coq9,4
Bdh1,4
Cit,1
Praf2,4
Ykt6,5
Rph3a,4
Tpt1,5
Psmb4,6
Mark3,1
Cops8,2
Otub1,5
Smap1,3
Rims2,1
Trappc5,8
Rims1,1
Epb4.1l2,1
Adam22,1
Tceb2,2
Tceb1,2
Hpcal1,5
Clasp2,1
Crtc1,5
Atp5j2,4
Dmwd,5
Gtpbp1,2
Usp4,5
Pip4k2c,3
Pycrl,6
Lsm12,2
Hrsp12,5
Grcc10,5
Cmpk1,5
Aldh7a1,5
Tmx1,4
Gstm5,5
Twf1,5
Cstb,5
Cnpy2,5
Ddah1,5
Ermp1,4
Mark1,1
Pcyt2,5
Ablim1,1
Pgrmc2,4
Anp32a,5
Ccdc124,2
Ckap4,4
Cc2d1a,3
Arl3,1
Mast1,3
Pdzd11,5
Lgmn,5
Abca2,1
Shroom2,1
Reep1,1
Dusp3,3
Ccrn4l,3
Sucla2,4
Pfdn5,3
Birc6,7
Blvra,4
Slc4a4,1
Kcnj4,1
3110002H16Rik,1
Sdk2,1
Cnpy3,5
Map2,1
Amph,1
Cops2,2
Slc17a7,1
Mapre2,1
Adra2a,3
Chrm4,3
Sept8,7
Calcoco1,1
Dpysl4,3
Homer2,1
Arhgap33,1
Stx7,7
Stx12,7
Rabggta,4
Tagln3,5
Ufc1,5
Spr,5
Stx16,7
Mpst,5
Stx6,7
Vti1b,7
Stx8,7
Arfgap1,1
Tmed4,4
Acads,5
Sar1a,5
Snap47,7
Dkk3,1
Atat1,5
Snap91,1
Necap1,1
Ap1s1,1
Pip5k1c,1
Rundc3a,1
Dnajc6,1
Ap1g1,1
Ppp3cb,1
Sgip1,1
Ehd1,7
Mpi,5
Pitpna,5
Gria1,1
Scamp1,4
Stam,1
Psd,3
Mccc2,4
Coro7,1
Pccb,5
Ube2d3,5
Rabl6,4
Agfg2,1
