UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
M6pr|P24668,388258.5813,358850.9377,353843.7724,382991.7955,346893.61,361523.7853,321220.9251,401599.9801,390875.8868,367800.2174,392885.3204,352969.8322,325404.33,382066.5417,376138.7734,369680.5849,352528.847,380795.7787,353579.8257,391616.678,426700.9932,369651.6632,589823.2006,574163.9262,581123.5165,543336.1072,574716.8848,544278.0807,550058.4273,582102.4599,628169.93,483830.9794,618223.4452,321990.4018,268477.0158,353311.4143,462295.5493,401718.0995,256077.9266,319257.454,356242.5742,318693.8859,376020.7319,251794.564
Macf1|Q9QXZ0,10557140.99,12491830.01,12348269.08,12262353.68,13758495.08,10843924.59,14424332.59,13913893.99,14913843.58,15065139.2,10937358.73,7432196.305,8702030.808,8617790.814,8795911.831,9435149.164,7720637.519,8874678.133,8765189.975,9741465.15,9017804.361,7843340.998,10001370.97,12221864.85,12767461.74,11793842.08,12891291.53,10296091.44,12167018.34,12287541.75,12720372.45,13123255.91,10593477.79,7135750.177,7828937.765,8204733.615,9111138.623,8954649.203,7416548.856,8601475.963,8834753.937,9351718.335,10135402.96,6886225.021
Macrod1|Q922B1,183932.1233,136556.3903,152159.9549,194061.775,166910.9944,200341.0817,175184.1911,123355.0443,159493.3759,167674.9792,190911.2758,353272.2347,346981.4577,341306.9341,422102.1674,339417.2389,371307.2429,355268.8449,355948.249,300481.531,374687.6196,362416.6813,538522.7806,501106.9905,666442.1074,663489.13,591423.8855,508252.6485,617985.7606,579252.3626,531313.723,654534.9581,564810.382,380525.9432,387078.4537,328760.6913,302873.5014,289664.0677,377367.3788,366008.1952,329433.258,338098.5595,259973.9163,330314.8637
Macrod2|Q3UYG8,376428.3949,480924.4671,450550.9683,468256.8089,540613.7856,417221.0601,453236.5607,480916.5344,540626.1108,479409.7151,445019.6496,9447.560209,10954.5464,10279.96173,13913.70067,9804.777023,10889.43903,11795.25339,11827.88098,12730.53543,14228.53314,9436.38003,306871.5041,285074.4286,274288.0996,296889.4247,290268.5257,297695.2808,327148.852,291662.778,331401.8368,350466.394,327016.9211,209042.0949,258454.0733,224258.8204,237836.484,336624.8794,214485.0547,212182.5914,223433.6334,224156.8465,252801.3233,207149.1818
Madd|Q80U28,4814619.778,5222838.203,4874410.753,5028993.383,4664179.199,4720921.199,4575177.514,4765761.582,5528057.047,5863766.801,4738367.571,4161598.173,4253713.762,4140281.513,4496286.484,3940020.123,4224810.105,4415935.692,4160312.048,3708892.253,4137527.587,4155288.139,4925448.371,4817436.031,5171304.457,4591574.75,4644272.993,5266344.03,4979717.611,5448381.372,5466822.014,5555886.698,5474248.822,3090855.927,3111553.276,3450384.323,2838202.409,3380629.934,3278380.766,2618901.195,3181582.015,2927327.477,3171348.413,2801684.447
Mag|P20917,1922800.899,2237903.134,1965550.729,1929390.329,3524510.962,1901709.852,3134014.7,2020532.104,1476540.008,1475305.131,1866115.03,2533876.979,2106159.533,3735411.028,2959861.218,2952030.971,2564092.311,2693720.01,3336181.182,2665293.133,3146441.81,2558370.907,2153597.857,1933466.828,2922686.336,2459807.296,1827296.531,2125565.912,2508343.844,1958774.433,1937210.929,1720274.374,2249836.692,2770913.305,2321817.839,3168642.517,2274663.302,2802490.3,2630052.185,3107356.275,2990456.922,3406735.334,2749055.257,2585641.373
Magi1|Q6RHR9,629692.3931,854444.6678,752655.7046,816810.8337,952509.588,631578.2523,986702.8999,753314.9289,920734.2342,912559.9407,639347.4227,699347.2632,962163.1535,886721.2469,846613.164,937549.3029,719689.5444,883622.9648,912279.2829,894451.6297,917096.3013,707039.3875,89481.2386,106113.0161,123681.1445,102694.133,107381.6638,99626.41928,127751.0151,117181.2389,123128.3322,117707.7499,98612.826,808251.1602,1158233.143,1157273.648,1205244.456,1224839.023,894368.1455,1178861.882,1234016.827,1241426.134,1340759.13,772478.8392
Magi2|Q9WVQ1,980896.4159,1070562.825,1036438.364,1094431.016,1343871.148,1040637.46,1244839.079,1118976.969,1082461.191,1146920.369,1002356.328,899797.7908,1389096.102,1263811.032,2318249.072,1521289.37,901934.92,1674505.164,1365511.877,1274631.848,1178620.69,923884.4216,478179.8764,553288.5803,630911.7054,544811.1788,504742.8662,492375.2154,581243.1981,525091.8919,573711.7704,616866.5381,489163.896,476661.0767,609007.8146,645550.6094,687318.866,652131.5586,522784.1702,627255.5793,629186.2763,684138.3557,708310.8834,560609.8953
Magi3|Q9EQJ9,10556985.47,12904904.7,11483695.22,11496809.66,13112165.06,9127359.387,13471907.33,9512889.444,15342106.58,14688241.86,9194457.838,208861.599,250796.774,260305.0986,297730.7804,265601.4973,232715.6123,283640.0676,249646.9947,289445.5548,235446.4301,237809.182,9170.689705,10450.25325,10840.51598,10555.15935,10532.81765,8489.995488,9744.401135,12219.28043,7482.021578,11694.14481,9188.779751,219564.1044,238526.9959,243936.9161,266781.985,228970.6721,216571.6684,257100.1785,284036.7046,284555.7675,275368.1811,211655.5912
Maip1|Q8BHE8,1078625.18,943601.7002,1050889.633,976728.8586,968922.2784,1175153.446,1234418.982,862059.6577,933872.0779,983742.7818,1134737.511,940905.5476,811548.0231,891667.7348,932897.9804,970142.2703,1072328.728,721431.7719,918463.7547,1011875.56,1001181.279,985688.9736,538109.4101,491607.587,542174.4091,522598.6968,538094.9906,523981.1893,469307.2408,457086.5945,470208.0483,448370.2408,584141.6119,379557.6067,349627.0309,342449.0827,347984.6232,313307.5348,376347.3129,368242.351,329757.4652,367815.0067,295594.8248,349505.624
