Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M31,16.3465909090909,4,0.00258766628069403,0.183724305929276,KO.Ube3a.Cortex-WT.Cortex,0.198612548448306,-0.00192679197468662,0.399151888871298,0.0525645835413268,FALSE,0.778648141920359
M32,16.6335227272727,4,0.00227688661596458,0.161658949733485,KO.Shank2.Cortex-WT.Cortex,0.157268041464565,-0.0430122805688168,0.357548363497946,0.165036271071277,FALSE,0.792065168942532
M32,16.6335227272727,4,0.00227688661596458,0.161658949733485,KO.Shank3.Cortex-WT.Cortex,-0.257823726893985,-0.458104048927366,-0.0575434048606032,0.00802746561540968,FALSE,0.792065168942532
M32,16.6335227272727,4,0.00227688661596458,0.161658949733485,HET.Syngap1.Cortex-WT.Cortex,-0.0153176850388646,-0.215598007072246,0.184962636994517,0.999213116431217,FALSE,0.792065168942532
M32,16.6335227272727,4,0.00227688661596458,0.161658949733485,KO.Ube3a.Cortex-WT.Cortex,0.189839879039667,-0.0104404429937149,0.390120201073048,0.0675560507815813,FALSE,0.792065168942532
M33,13.6051136363636,4,0.0086681027537749,0.615435295518018,KO.Shank2.Cortex-WT.Cortex,-0.16607977569503,-0.375359239125006,0.0431996877349455,0.15811131276072,FALSE,0.70587097018938
M33,13.6051136363636,4,0.0086681027537749,0.615435295518018,KO.Shank3.Cortex-WT.Cortex,0.228348369725671,0.0190689062956954,0.437627833155647,0.028503676208791,FALSE,0.70587097018938
M33,13.6051136363636,4,0.0086681027537749,0.615435295518018,HET.Syngap1.Cortex-WT.Cortex,-0.0814801756423953,-0.290759639072371,0.12779928778758,0.750998490218882,FALSE,0.70587097018938
M33,13.6051136363636,4,0.0086681027537749,0.615435295518018,KO.Ube3a.Cortex-WT.Cortex,0.179821248799049,-0.0294582146309263,0.389100712229025,0.111487077530675,FALSE,0.70587097018938
M34,15.7251420454545,4,0.00341105341153582,0.242184792219043,KO.Shank2.Cortex-WT.Cortex,0.0355118161680127,-0.15241360500345,0.223437237339475,0.975260587172486,FALSE,0.776189317089564
M34,15.7251420454545,4,0.00341105341153582,0.242184792219043,KO.Shank3.Cortex-WT.Cortex,0.343624466330433,0.155699045158971,0.531549887501895,0.000199267252329993,FALSE,0.776189317089564
M34,15.7251420454545,4,0.00341105341153582,0.242184792219043,HET.Syngap1.Cortex-WT.Cortex,-0.16680782641333,-0.354733247584793,0.0211175947581319,0.0953805491573847,FALSE,0.776189317089564
M34,15.7251420454545,4,0.00341105341153582,0.242184792219043,KO.Ube3a.Cortex-WT.Cortex,9.32321504664921e-06,-0.187916097956416,0.187934744386509,1,FALSE,0.776189317089564
M35,12.3046875,4,0.0152236726750845,1,KO.Shank2.Cortex-WT.Cortex,-0.0641403018662044,-0.268704301761052,0.140423698028643,0.864947392341731,FALSE,0.760835077706053
M35,12.3046875,4,0.0152236726750845,1,KO.Shank3.Cortex-WT.Cortex,0.291877867725299,0.0873138678304517,0.496441867620147,0.00314188990727327,FALSE,0.760835077706053
M35,12.3046875,4,0.0152236726750845,1,HET.Syngap1.Cortex-WT.Cortex,-0.168219936781955,-0.372783936676803,0.0363440631128923,0.136091169048049,FALSE,0.760835077706053
M35,12.3046875,4,0.0152236726750845,1,KO.Ube3a.Cortex-WT.Cortex,-0.0621762289576623,-0.26674022885251,0.142387770937185,0.877166144432657,FALSE,0.760835077706053
M36,9.74786931818181,4,0.0448958484733585,1,KO.Shank2.Cortex-WT.Cortex,-0.0572185252173826,-0.301865591532166,0.187428541097401,0.94764158691548,FALSE,0.683935581960705
M36,9.74786931818181,4,0.0448958484733585,1,KO.Shank3.Cortex-WT.Cortex,0.0647865143811481,-0.179860551933636,0.309433580695932,0.92064483073548,FALSE,0.683935581960705
M36,9.74786931818181,4,0.0448958484733585,1,HET.Syngap1.Cortex-WT.Cortex,-0.186064013691419,-0.430711080006203,0.0585830526233649,0.187059089238215,FALSE,0.683935581960705
M36,9.74786931818181,4,0.0448958484733585,1,KO.Ube3a.Cortex-WT.Cortex,0.155374030862021,-0.0892730354527627,0.400021097176805,0.334383254519549,FALSE,0.683935581960705
M37,14.0319602272727,4,0.00719374737689565,0.510756063759591,KO.Shank2.Cortex-WT.Cortex,0.102423237371986,-0.0956914788434496,0.300537953587421,0.524920537107056,FALSE,0.673643757593756
M37,14.0319602272727,4,0.00719374737689565,0.510756063759591,KO.Shank3.Cortex-WT.Cortex,0.209250498429915,0.0111357822144799,0.407365214645351,0.0353893493836895,FALSE,0.673643757593756
M37,14.0319602272727,4,0.00719374737689565,0.510756063759591,HET.Syngap1.Cortex-WT.Cortex,-0.248500493496773,-0.446615209712209,-0.0503857772813379,0.00994290239279649,FALSE,0.673643757593756
M37,14.0319602272727,4,0.00719374737689565,0.510756063759591,KO.Ube3a.Cortex-WT.Cortex,0.135459585556262,-0.0626551306591732,0.333574301771698,0.269916965034723,FALSE,0.673643757593756
M38,16.4744318181818,4,0.00244435161984753,0.173548965009175,KO.Shank2.Cortex-WT.Cortex,0.161970494610533,-0.0582788617934087,0.382219851014475,0.211641916608231,FALSE,0.66481868326189
M38,16.4744318181818,4,0.00244435161984753,0.173548965009175,KO.Shank3.Cortex-WT.Cortex,0.229697961104147,0.00944860470020542,0.44994731750809,0.0383988041188408,FALSE,0.66481868326189
M38,16.4744318181818,4,0.00244435161984753,0.173548965009175,HET.Syngap1.Cortex-WT.Cortex,-0.167081357302769,-0.387330713706711,0.0531679991011731,0.188877007595447,FALSE,0.66481868326189
M38,16.4744318181818,4,0.00244435161984753,0.173548965009175,KO.Ube3a.Cortex-WT.Cortex,0.0705863412712421,-0.1496630151327,0.290835697675184,0.855781300398455,FALSE,0.66481868326189
M39,10.2535511363636,4,0.0363665106443036,1,KO.Shank2.Cortex-WT.Cortex,-0.0831775210655607,-0.32272675846211,0.156371716330989,0.817828170809706,FALSE,0.646668373732435
M39,10.2535511363636,4,0.0363665106443036,1,KO.Shank3.Cortex-WT.Cortex,0.167804613749413,-0.0717446236471368,0.407353851145963,0.249903393560283,FALSE,0.646668373732435
M39,10.2535511363636,4,0.0363665106443036,1,HET.Syngap1.Cortex-WT.Cortex,-0.0152725920145115,-0.254821829411061,0.224276645382038,0.999616036040325,FALSE,0.646668373732435
